asset,entry_price,stop_loss,exit_price,confidence,reason,timestamp
Unknown,0.0,0.0,0.0,0.3620517790317535,market_conditions,2025-07-25 22:17:43
Unknown,0.0,0.0,0.0,0.362053234577179,market_conditions,2025-07-25 22:17:44
Unknown,0.0,0.0,0.0,0.3620517790317535,market_conditions,2025-07-25 22:17:45
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:17:47
Unknown,0.0,0.0,0.0,0.3626741230487824,market_conditions,2025-07-25 22:17:48
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:17:48
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:17:49
Unknown,0.0,0.0,0.0,0.3626741230487824,market_conditions,2025-07-25 22:17:50
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:17:52
Unknown,0.0,0.0,0.0,0.3626731789112091,market_conditions,2025-07-25 22:17:53
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:17:53
Unknown,0.0,0.0,0.0,0.3626731789112091,market_conditions,2025-07-25 22:17:54
Unknown,0.0,0.0,0.0,0.3626731789112091,market_conditions,2025-07-25 22:17:55
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:17:57
Unknown,0.0,0.0,0.0,0.362053234577179,market_conditions,2025-07-25 22:17:58
Unknown,0.0,0.0,0.0,0.362053234577179,market_conditions,2025-07-25 22:17:59
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:00
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:00
Unknown,0.0,0.0,0.0,0.362053234577179,market_conditions,2025-07-25 22:18:01
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:03
Unknown,0.0,0.0,0.0,0.3620509529113769,market_conditions,2025-07-25 22:18:04
Unknown,0.0,0.0,0.0,0.3620509529113769,market_conditions,2025-07-25 22:18:05
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:06
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:07
Unknown,0.0,0.0,0.0,0.3620509529113769,market_conditions,2025-07-25 22:18:07
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:09
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:10
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:11
Unknown,0.0,0.0,0.0,0.3620509529113769,market_conditions,2025-07-25 22:18:12
Unknown,0.0,0.0,0.0,0.3620509529113769,market_conditions,2025-07-25 22:18:13
Unknown,0.0,0.0,0.0,0.3626741230487824,market_conditions,2025-07-25 22:18:14
Unknown,0.0,0.0,0.0,0.3620509529113769,market_conditions,2025-07-25 22:18:15
Unknown,0.0,0.0,0.0,0.3620509529113769,market_conditions,2025-07-25 22:18:16
Unknown,0.0,0.0,0.0,0.3626741230487824,market_conditions,2025-07-25 22:18:17
Unknown,0.0,0.0,0.0,0.3626671600341797,market_conditions,2025-07-25 22:18:18
Unknown,0.0,0.0,0.0,0.3626741230487824,market_conditions,2025-07-25 22:18:19
Unknown,0.0,0.0,0.0,0.3626741230487824,market_conditions,2025-07-25 22:18:20
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:21
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:22
Unknown,0.0,0.0,0.0,0.3626671600341797,market_conditions,2025-07-25 22:18:23
Unknown,0.0,0.0,0.0,0.3626741230487824,market_conditions,2025-07-25 22:18:24
Unknown,0.0,0.0,0.0,0.3626741230487824,market_conditions,2025-07-25 22:18:25
Unknown,0.0,0.0,0.0,0.3620509529113769,market_conditions,2025-07-25 22:18:26
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:27
Unknown,0.0,0.0,0.0,0.3626739263534546,market_conditions,2025-07-25 22:18:28
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:29
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:30
Unknown,0.0,0.0,0.0,0.3626739263534546,market_conditions,2025-07-25 22:18:31
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:32
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:33
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:34
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:35
Unknown,0.0,0.0,0.0,0.3626671600341797,market_conditions,2025-07-25 22:18:36
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:37
Unknown,0.0,0.0,0.0,0.3626671600341797,market_conditions,2025-07-25 22:18:38
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:39
Unknown,0.0,0.0,0.0,0.3626671600341797,market_conditions,2025-07-25 22:18:40
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:41
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:42
Unknown,0.0,0.0,0.0,0.3620509529113769,market_conditions,2025-07-25 22:18:43
Unknown,0.0,0.0,0.0,0.3620509529113769,market_conditions,2025-07-25 22:18:44
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:45
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:46
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:47
Unknown,0.0,0.0,0.0,0.3620509529113769,market_conditions,2025-07-25 22:18:48
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:50
Unknown,0.0,0.0,0.0,0.3620517790317535,market_conditions,2025-07-25 22:18:50
Unknown,0.0,0.0,0.0,0.3620517790317535,market_conditions,2025-07-25 22:18:51
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:52
Unknown,0.0,0.0,0.0,0.3620517790317535,market_conditions,2025-07-25 22:18:53
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:54
Unknown,0.0,0.0,0.0,0.3620517790317535,market_conditions,2025-07-25 22:18:55
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:56
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:57
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:58
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:18:59
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:19:00
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:19:01
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:19:05
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:19:07
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:19:07
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:19:08
Unknown,0.0,0.0,0.0,0.27,market_conditions,2025-07-25 22:19:09
